Species.ID	Type	Phyto	Bact	MiZo	SmCo	LaCo	GeZo	MiNe	Poly	Crus	Moll	MaOt	MbFl	MbOt	Shri	SmPE	SmPEo	Squi	SmPEa	MePE	DemB	DemO	DemP	Shar	HiMi	Pinn	Myst	Odon	Bird	Type1	Type2	Type3	Type4	Type5
Phyto	E	0	15	15	61	46	8.6	11.4	10.8	12	37.9	14.9	60	0	5.4	1.1	15.7	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bact	E	0	0	40	0	0	2	0	26	10.6	17.5	16	20	12	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MiZo	E	0	0	10	20	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmCo	E	0	0	0	8	28	33	51.3	0	1.1	0	0	0	0	0	11.7	11.5	0	7.9	0	0	0	0	0	0	0	5.8	0	0	0	0	0	0	0
LaCo	E	0	0	0	0	10.3	36	22.9	0	2.1	0	0	0	0	0	42.6	64.1	9	87.4	0	0	0	0	3	0	0	46.2	0	3	0	0	0	0	0
GeZo	E	0	0	0	0	5	2.1	0	0	0	0	0	0	0	0	2.1	3.1	0	0	0.1	0.5	1.2	0.1	0	7.2	0	0.1	0.3	0	0	0	0	0	0
MiNe	E	0	0	0	0	0	0	2.9	0	0	0	0	0	0	10.8	21.3	4.2	45	1.9	0	6.1	3.5	2.2	0	0	7.4	28.9	2.5	12.3	0	0	0	0	0
Poly	E	0	0	0	0	0	0	0	9.4	10	0	5	0	6.7	0	1.1	0	0	0.3	0	14.6	17.7	1.1	0	0	0	0	0	0	0	0	0	0	0
Crus	E	0	0	0	0	0.3	0	0	1.7	10.4	0	5	0	6.7	5.4	6.7	0.2	13.5	0.6	1.2	18.1	17.7	1.1	1	0	0	5.8	0	0	0	0	0	0	0
Moll	E	0	0	0	0	0	0	0	0.9	14.2	6.7	14.9	0	20.1	0	1.1	0.2	0	0	0	12.2	17.7	3.3	0	0	0	1.2	0	0	0	0	0	0	0
MaOt	E	0	0	0	0	0.4	0	0	5.1	10.4	5.2	8	0	20.1	7.5	1.1	0.3	1.5	0	1.2	18	11.8	10.9	1	0	0	2.3	0	0	0	0	0	0	0
MbFl	E	0	0	0	0	0	0	0	0.3	1.1	1.1	0.4	0	3.3	0	0	0	0	0	0	5.2	4.3	1.1	0	0	0	0	0	0	0	0	0	0	0
MbOt	E	0	0	0	0	0	0	0	0.3	1	1.1	5	0	14.3	0	0	0	0	0	19	9.5	11.8	2.2	0	0	0	0.7	0	0	0	0	0	0	0
Shri	E	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	6.8	0	2.4	2.1	0.4	15.3	0	0	0	0	0	6.2	0	0	0	0	0
SmPE	E	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	1.4	0	35.5	6	5.8	27	21	14.4	44.5	5.8	35.2	27.3	0	0	0	0	0
SmPEo	E	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	1.5	0	3.6	0.2	0.2	5.6	5	72.1	14.8	0.6	19	23.5	0	0	0	0	0
Squi	E	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	6.1	0	3.6	0.4	0.2	5.5	16	6.3	0	1.1	25.4	6.1	0	0	0	0	0
SmPEa	E	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0.2	0	2.4	0	0	0.2	2	0	11	0.3	4.6	4	0	0	0	0	0
MePE	E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	13	0	0.1	0	0.1	0.1	0	0	0	0	0
DemB	E	0	0	0	0	0	0	0	0	0.4	0	0.5	0	0.7	0	0.2	0	0	0	11.9	3.7	1.3	1.1	5	0	7.4	0	0	0	0	0	0	0	0
DemO	E	0	0	0	0	0	0	0	0	0.2	0	0.3	0	0.4	0	0.2	0	0	0	5.9	0.6	1	0.4	8	0	7.4	0	6.3	3.7	0	0	0	0	0
DemP	E	0	0	0	0	0	0	0	0	0	0	0.3	0	0.4	0	0.2	0	0	0	11.9	0.4	0.6	21.8	7	0	7.4	0	6.3	2.5	0	0	0	0	0
Shar	E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
HiMi	E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Pinn	E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Myst	E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Odon	E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.3	0	0	0	0	0	0	0
Bird	E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
