license_type,license_description
AL,Aquaculture License
CFC,Commercial Fishing Crew
CFS,Commercial Fishing Single
CPC,Commercial pelagicc and anadromous crew
CPS,Commercial pelagic and anadromous single
CS,Commercial Shellfish
CSC,Commercial shrimp crew
CSO,Commercial shellfish + 70
CSS,Commerical Shrimp Single
CSU,Commercial Shellfish Under 18
E0,Elver Dip Net
E0C,Elver Dip Net Crew
E1,Elver 1 Fyke Net
E1C,Elver 1 Fyke Net Crew
E2,Elver 2 Fyke Net
E2C,Elver 2 Fyke Net with Crew
E6,Elver Dip Net 1 Fyke Net
E6C,Elver Dip Net 1 Fyke Net Crew
EP,Eel pot hoop
GC,Green crab
LA,Lobster Crab Apprentice
LAO,Lobster Crab Apprentice + 70
LAU,lobster crab apprentace under 18
LC1,Lobster crab class I
LC2,Lobster crab class II
LC2O,Lobster crab class II + 70
LC3,Lobster crab class III
LC3O,Lobster crab class III + 70
LCO,Lobster Crab + 70
LCS,Lobster Crab Student
LCU,Lobster Crab Under 18
MD,Mussel Dragger
MH,Mussel Hand
MWD,Marine Worm Digging
QM,Quahog (Mahogany)
SCD,Sea Cucumber Drag
SD,Scallop Dragger
SDI,Scallop diver
SDT,Scallop with tender
SUB,Sea Urchin Dragger
SUH,Sea urchin diver
SUR,Sea Urchin Raking
SURF,Surf Clam Boat
SUWT,Sea Urchin with Tender
SW,Seaweed
SWS,seaweed supplemental
TEN,Sea urchin/scallop tender
MENC,Menhaden
MENR,Menhaden
